variant_id,model_id,canonical_name,section,product_type,brand,model,variant_name,ram_gb,storage_gb,color,manufacturer_sku,gtin,manufacturer_url,source_status,created_at,updated_at
VAR-CCC6F4687AC490,MOD-2473CEE3FFE80C,Fresh FNTBS400KTFLD 369L / Stainless Steel,الأجهزة المنزلية,ثلاجات,Fresh,FNTBS400KTFLD,369L | Stainless Steel,,,Stainless Steel,FNTBS400KTFLD,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-3E4E252D0671B3,MOD-7E0D061AD31192,Fresh FNTLS540MIWGFLD 426L / Stainless Steel,الأجهزة المنزلية,ثلاجات,Fresh,FNTLS540MIWGFLD,426L | Stainless Steel,,,Stainless Steel,FNTLS540MIWGFLD,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-19994B5354814B,MOD-C524C0C06418B4,Fresh FNTMS540YT4K 426L / Stainless Steel,الأجهزة المنزلية,ثلاجات,Fresh,FNTMS540YT4K,426L | Stainless Steel,,,Stainless Steel,FNTMS540YT4K,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-8791E0F48D9673,MOD-5ECD960DD4ACAC,Kiriazi E470 450L / Black,الأجهزة المنزلية,ثلاجات,Kiriazi,E470,450L | Black,,,Black,E470,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-2BB1648FA7D3F7,MOD-6270E38F98E8BF,Kiriazi E470NV/2 450L / Silver,الأجهزة المنزلية,ثلاجات,Kiriazi,E470NV/2,450L | Silver,,,Silver,E470NV/2,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-F3B1D73096C0C4,MOD-DA8CD1C7AD84A6,Kiriazi E520 NV/2 480L / Silver,الأجهزة المنزلية,ثلاجات,Kiriazi,E520 NV/2,480L | Silver,,,Silver,E520 NV/2,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-34E78FD5F9280D,MOD-73D69B552B7E84,Kiriazi E520 NV/2 B 450L / Black,الأجهزة المنزلية,ثلاجات,Kiriazi,E520 NV/2 B,450L | Black,,,Black,E520 NV/2 B,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-B497A144FCB809,MOD-CD26A4479F287B,Kiriazi E570NV2 540L / Silver,الأجهزة المنزلية,ثلاجات,Kiriazi,E570NV2,540L | Silver,,,Silver,E570NV2,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-C1734B90C247D0,MOD-CD26A4479F287B,Kiriazi E570NV2 570L,الأجهزة المنزلية,ثلاجات,Kiriazi,E570NV2,570L,,,,E570NV2,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-314FB9B3653AEA,MOD-1817C0367C68F1,Kiriazi k28m 280L / Silver,الأجهزة المنزلية,ثلاجات,Kiriazi,k28m,280L | Silver,,,Silver,k28m,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-1B76A68F1EA68E,MOD-D65AAD6C09E574,Kiriazi K330 330L / White,الأجهزة المنزلية,ثلاجات,Kiriazi,K330,330L | White,,,White,K330,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-EED437050F23B6,MOD-64A4190B88E9E2,Kiriazi KH370LN 370L / Silver,الأجهزة المنزلية,ثلاجات,Kiriazi,KH370LN,370L | Silver,,,Silver,KH370LN,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-A2285B04F07DEC,MOD-3CE0CA752B7386,Kiriazi KH370LN/3 370L / Black,الأجهزة المنزلية,ثلاجات,Kiriazi,KH370LN/3,370L | Black,,,Black,KH370LN/3,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
VAR-CE7134BEA63891,MOD-EF618C3B5EE72C,Kiriazi KH371NV/2 370L / Silver,الأجهزة المنزلية,ثلاجات,Kiriazi,KH371NV/2,370L | Silver,,,Silver,KH371NV/2,,,mapped,2026-07-30T00:00:00,2026-07-30T00:00:00
